Data Size,Array Accesses
1372,916,1371
2628,1735,2627
9791,6277,9790
6670,4322,6669
1726,1132,1725
7595,4901,7594
4888,3210,4887
2582,1706,2581
7311,4748,7310
7566,4933,7565
4268,2796,4267
2650,1752,2649
2022,1331,2021
5014,3279,5013
7512,4865,7511
5535,3640,5534
6665,4327,6664
6982,4541,6981
3052,2007,3051
8013,5188,8012
1706,1139,1705
8796,5651,8795
3809,2511,3808
8671,5646,8670
3339,2190,3338
7123,4636,7122
8622,5555,8621
1006,688,1005
2373,1559,2372
7065,4593,7064
3769,2479,3768
3576,2344,3575
8654,5575,8653
1687,1118,1686
7142,4659,7141
4474,2944,4473
3585,2366,3584
2469,1628,2468
2904,1907,2903
4139,2699,4138
2303,1530,2302
6929,4509,6928
2675,1787,2674
6917,4485,6916
4109,2712,4108
3568,2356,3567
1916,1264,1915
1344,897,1343
6091,3987,6090
5617,3671,5616
5711,3745,5710
3906,2564,3905
1535,1008,1534
7053,4574,7052
2873,1893,2872
8293,5349,8292
5608,3651,5607
2716,1796,2715
4012,2629,4011
5287,3469,5286
2161,1437,2160
4024,2660,4023
5625,3656,5624
5219,3439,5218
1239,825,1238
1226,820,1225
7434,4838,7433
7255,4686,7254
2766,1819,2765
7288,4708,7287
4161,2699,4160
9177,5920,9176
8926,5733,8925
8106,5242,8105
8277,5351,8276
8663,5575,8662
3598,2352,3597
2694,1783,2693
7524,4883,7523
3708,2459,3707
8136,5258,8135
2364,1559,2363
6738,4387,6737
8145,5266,8144
9727,6275,9726
9428,6058,9427
4324,2834,4323
3764,2480,3763
1902,1259,1901
5992,3880,5991
8821,5712,8820
1144,759,1143
4567,2995,4566
7394,4820,7393
6633,4308,6632
6719,4356,6718
2271,1502,2270
4429,2878,4428
8269,5368,8268
6385,4172,6384
3779,2505,3778
3789,2498,3788
9609,6207,9608
8386,5420,8385
7541,4901,7540
7186,4666,7185
8209,5305,8208
7405,4781,7404
1609,1057,1608
2898,1901,2897
1246,811,1245
8544,5518,8543
5040,3320,5039
6290,4098,6289
6966,4525,6965
2873,1892,2872
8489,5500,8488
8490,5487,8489
8943,5826,8942
2546,1685,2545
6532,4240,6531
9334,6027,9333
4997,3272,4996
2725,1819,2724
8893,5772,8892
4896,3194,4895
7992,5195,7991
8694,5639,8693
4668,3052,4667
5205,3393,5204
7950,5126,7949
9632,6225,9631
6971,4494,6970
7432,4822,7431
7904,5087,7903
9986,6415,9985
1123,745,1122
1602,1057,1601
6751,4384,6750
1159,763,1158
6238,4063,6237
4047,2659,4046
5893,3838,5892
3364,2202,3363
5984,3895,5983
9311,5987,9310
5069,3307,5068
7951,5149,7950
5127,3341,5126
3480,2286,3479
7650,4979,7649
2003,1320,2002
3662,2411,3661
3563,2322,3562
6786,4379,6785
7308,4756,7307
8225,5313,8224
2749,1812,2748
1369,894,1368
3622,2369,3621
5080,3329,5079
5402,3545,5401
8581,5555,8580
5331,3477,5330
4864,3211,4863
3856,2541,3855
1006,673,1005
3747,2461,3746
6493,4207,6492
3073,2019,3072
8327,5382,8326
7283,4722,7282
8740,5633,8739
3865,2534,3864
3943,2562,3942
9526,6107,9525
3650,2382,3649
8395,5398,8394
6484,4184,6483
2630,1734,2629
7679,4963,7678
8350,5407,8349
9416,6071,9415
8118,5242,8117
4424,2905,4423
7740,5072,7739
8374,5418,8373
6856,4453,6855
6067,3950,6066
2465,1630,2464
3984,2597,3983
4987,3261,4986
5851,3804,5850
4890,3207,4889
8572,5538,8571
1877,1255,1876
1695,1133,1694
1954,1298,1953
3951,2596,3950
7792,5034,7791
8447,5475,8446
7781,5022,7780
6717,4343,6716
9241,5967,9240
2235,1477,2234
8275,5353,8274
3832,2509,3831
7093,4543,7092
5914,3886,5913
8923,5758,8922
3564,2343,3563
2503,1650,2502
5978,3907,5977
7216,4661,7215
8077,5230,8076
1841,1225,1840
6365,4147,6364
3775,2487,3774
3236,2141,3235
3716,2458,3715
9617,6184,9616
1205,799,1204
9060,5863,9059
6724,4393,6723
4396,2894,4395
6585,4268,6584
9919,6385,9918
3315,2196,3314
3576,2336,3575
7665,4996,7664
7785,5056,7784
5874,3808,5873
2650,1764,2649
5820,3800,5819
4047,2632,4046
7245,4702,7244
4557,2980,4556
3302,2159,3301
8727,5647,8726
3361,2223,3360
7447,4823,7446
8689,5646,8688
2158,1428,2157
7378,4803,7377
2754,1796,2753
7473,4862,7472
3359,2201,3358
7952,5155,7951
3153,2076,3152
4011,2624,4010
8071,5232,8070
1243,828,1242
5263,3433,5262
1909,1272,1908
4021,2640,4020
3753,2446,3752
2160,1419,2159
5774,3792,5773
2899,1921,2898
1519,1019,1518
7686,4945,7685
9816,6325,9815
8480,5491,8479
7328,4769,7327
5581,3623,5580
9799,6307,9798
9968,6375,9967
5648,3690,5647
2564,1684,2563
4091,2674,4090
8099,5232,8098
4400,2861,4399
6989,4514,6988
7723,4975,7722
8497,5486,8496
8369,5439,8368
3636,2397,3635
3474,2284,3473
7629,4955,7628
2709,1804,2708
2187,1462,2186
7917,5132,7916
1373,903,1372
2754,1814,2753
1504,1004,1503
5775,3751,5774
9720,6288,9719
6118,3996,6117
5397,3531,5396
3459,2284,3458
7752,5019,7751
2284,1526,2283
7068,4594,7067
9899,6365,9898
5497,3584,5496
2849,1870,2848
8195,5330,8194
2828,1851,2827
5397,3533,5396
8934,5796,8933
8956,5797,8955
2122,1407,2121
7233,4667,7232
8765,5707,8764
3791,2486,3790
1890,1250,1889
2272,1516,2271
2183,1448,2182
2959,1953,2958
8696,5619,8695
4153,2706,4152
2127,1413,2126
5191,3387,5190
5674,3726,5673
2766,1820,2765
2665,1759,2664
2550,1680,2549
6972,4539,6971
9669,6236,9668
8842,5715,8841
1307,860,1306
6322,4091,6321
9876,6355,9875
2894,1890,2893
4308,2820,4307
9411,6084,9410
9298,6014,9297
6108,3974,6107
6783,4418,6782
4781,3117,4780
5995,3910,5994
3566,2345,3565
9399,6031,9398
3050,2021,3049
8568,5560,8567
7800,5040,7799
5691,3739,5690
2049,1369,2048
2180,1431,2179
8184,5296,8183
2957,1945,2956
4725,3090,4724
7729,5013,7728
9858,6359,9857
6203,4023,6202
9097,5889,9096
2297,1525,2296
3415,2257,3414
1304,871,1303
9541,6136,9540
8950,5772,8949
7478,4845,7477
4453,2906,4452
3146,2068,3145
1239,831,1238
1034,689,1033
3095,2027,3094
4712,3089,4711
5148,3400,5147
7115,4604,7114
3793,2497,3792
1563,1043,1562
8863,5700,8862
7588,4897,7587
2651,1748,2650
9633,6226,9632
8775,5650,8774
3425,2241,3424
2504,1642,2503
4490,2945,4489
5760,3740,5759
4889,3188,4888
1752,1156,1751
8223,5344,8222
8897,5787,8896
5117,3369,5116
7683,4962,7682
2458,1616,2457
1192,796,1191
1196,790,1195
8341,5392,8340
5391,3514,5390
3799,2498,3798
4298,2817,4297
5395,3538,5394
8388,5398,8387
5793,3770,5792
8881,5745,8880
9483,6112,9482
2568,1697,2567
6598,4288,6597
7324,4741,7323
9280,6008,9279
8081,5225,8080
8248,5363,8247
2058,1359,2057
2112,1378,2111
3420,2243,3419
7536,4904,7535
7939,5124,7938
1790,1187,1789
8910,5761,8909
3364,2205,3363
2634,1729,2633
6284,4093,6283
7026,4542,7025
1264,851,1263
2229,1474,2228
9977,6465,9976
7191,4650,7190
8542,5532,8541
6391,4166,6390
2393,1586,2392
1153,763,1152
2018,1337,2017
1224,810,1223
9859,6361,9858
6577,4268,6576
9067,5849,9066
9828,6343,9827
7915,5115,7914
8936,5735,8935
8009,5144,8008
5497,3625,5496
3923,2603,3922
2657,1733,2656
6372,4161,6371
9924,6380,9923
2878,1890,2877
9601,6195,9600
2680,1782,2679
1683,1114,1682
7876,5115,7875
9933,6391,9932
1739,1136,1738
9976,6465,9975
4058,2658,4057
6924,4468,6923
8043,5205,8042
1011,672,1010
2428,1608,2427
4950,3209,4949
4117,2679,4116
3732,2441,3731
3347,2205,3346
6346,4112,6345
5617,3658,5616
2726,1786,2725
2135,1408,2134
2643,1750,2642
2018,1340,2017
3022,1996,3021
2211,1443,2210
1317,880,1316
1476,992,1475
2833,1875,2832
4044,2645,4043
4546,2991,4545
8819,5701,8818
6567,4294,6566
4001,2612,4000
5624,3680,5623
2152,1423,2151
8016,5194,8015
6453,4214,6452
5407,3543,5406
6695,4365,6694
6979,4552,6978
9389,6041,9388
1880,1260,1879
5244,3455,5243
3275,2151,3274
9119,5868,9118
8460,5471,8459
8678,5618,8677
4291,2802,4290
4402,2891,4401
5236,3418,5235
5717,3731,5716
6255,4069,6254
9639,6196,9638
6716,4359,6715
1618,1080,1617
6054,3939,6053
8417,5411,8416
5747,3766,5746
1504,992,1503
3235,2138,3234
9077,5866,9076
1951,1274,1950
8924,5755,8923
2383,1589,2382
2481,1652,2480
4427,2899,4426
4041,2664,4040
5675,3684,5674
9798,6311,9797
2178,1455,2177
4545,2929,4544
5334,3492,5333
